"","review_id","stars","text","cool","useful","funny","scores","review_type","Predicted_Stars"
"1778","HNinCPxgoNU_whrdpZOYRQ","4","The Corner Bakery was A-Ok! To me it seemed like an elevated Paradise/Panera. I had the Cobb Salad and it was perfectly chopped and dressed.  The desserts looked really good but a little on the pricey side for me to try that day. I'll be back because I really enjoyed the atmosphere and the great customer service.",1,0,0,2,"Positive","5"
"1781","1hiA8UlYnmupJgb2waVXAg","3","you want a hotel, what really matters?

Cleanliness!!!  5 stars.
Friendly staff.
And they got the really good cylindrical candies... mmmmm.  

ok, now that we got that out of the way.... some funky odors in one of the hallways and elevator at one end of the hall was out of order our entire stay.

i would come back though.  solid price performer.",0,1,0,0.5,"Positive","5"
"1784","fJjsZ9zBb6rELpejWpLyDQ","5","This is my FAVORITE place to dine out in the greater Phoenix area. The food (I recommend the steaks) is almost as good as the view and the service is impeccable. My boyfriend took me here on a date a year ago, and it was definitely one of the most romantic restaurants we have found in Phoenix yet. 

The prices are a little high ($25 - $40 per entree), but it's well worth it and you won't leave disappointed. If you like American or French food (who doesn't?) and have a special occasion or just feel like doing something different, I highly recommend Different Pointe of View to everyone!",0,0,1,4.5,"Positive","4"
"1792","3eJ2M94guIOhVWexTM6iEw","5","Matt's was absolutely fantastic. Got there at 2pm on a Sunday, which is apparently the time to do it (half an hour before close), as we walked right in, sat right down, and had food in 5 minutes or less. Brilliant.

I had the Five Spot which was simply the best egg sandwich I have ever had. Two eggs, two huge slices of perfectly cooked bacon, american cheese (my favorite with eggs when I'm not going fancy-style, reminds me of when I was a kid), and well grilled onions round it out, served on a fantastic roll. 

By default, this item doesn't include the normal potatoes and toast, so I had them add homefries--they were magnificent, and entirely unnecessary. A huge portion of them, with a wonderful smattering of rosemary to punch them up, they were delicious, but I couldn't finish them.

The girlfriend got a waffle with bacon and it should just be said that restaurants who serve waffles without real maple syrup are simply criminal. Matt's brings the good stuff, and it's MUCH appreciated. Perfect for dipping both waffle and bacon alike. The waffle was fluffy, light, and had that good, homemade flavor.

I can't get over how filling and delicious my sandwich was. Service was prompt and friendly, and overall, it was a great experience. Added a glass of OJ and a coffee to my sandwich with added homefries and her bacon and waffles bringing our tab to right about $21. Absolutely worth every penny. Will be coming back. Probably near 2 o'clock again, to avoid the wait!",2,2,0,9,"Positive","5"
"1793","CT7j5_WvUtIlMX7PfxJTdQ","5","This is by far the best Chicken Fried Steak around!  Not to mention their mashed potatoe's, salad and biscuit!  I've never been able to clean my plate here, which is great since I always have an extra meal!   Of course you can always get the lunch portion which is smaller, but then you don't have the extra goodies for later!  

It's a small down home place, dress comfy and go there to eat up!  The wait staff is always the best and they know their stuff!  

I've had their T-Bone here, and it's good, but really hard to go there and not get what made them famous!  Wonderful food!

Prices for lunch are around $7.00 and dinner around $12.00 - really hard to beat for real down home cooking!",0,0,0,2,"Positive","5"
"1799","1wvndcCwnvhB4eui7rV4cQ","5","BEST RESTAURANT IN AZ! 

No but seriously, I could eat every meal here. Chef Becky is amazing and breakfast this morning did not disappoint. I decided to try the Organic Oatmeal and my friend ordered the Red Velvet pancakes. Ok, so you're probably saying ""with all that yummy goodness you ordered oatmeal?"" Well, what I really wanted were the chilequiles (eggs, cotija jack, pulled pork, tortillas, tomatillo verde? Yes please!!) but being allergic to eggs I went with the oatmeal, which was delicious. The oatmeal had a vanilla flavor to it and the strawberry and pecan topping gave it some texture. The red velvet pancakes are too intense for words. Rich, fluffy...they'll make you want to get up early on a Saturday morning. I also tried a side order of the banana bread which was slightly toasted....now if you've never toasted banana bread, you need to. This was the perfect buttery flavor combination with the oatmeal.  

The service was fast as always--we never had to wait or ask for a coffee/water refill. The decor inside is warm but I think sitting outside on the patio is the way to go. 

Love the Herb Box and can't wait to go back and try the cinnamon buckwheat pancakes.",1,0,0,3.5,"Positive","4"
"1803","HDhmOIX6eZYQrvelvX3Czw","4","The only reason I'm not giving 5 is the misguided bus driver. After asking the driver if he dropped off at 'Pecos', not 1 but, 2 times, and he agreed both times, we wound up in Chanlder/Gilbert border NOT on Pecos. My mistake in thinking there was only 1 Pecos stop.  Newbie me had no idea. It was easier when our parents pinned our bus stop destination on our shirt when we were 6!

Stranded, about 8 miles away from my park n'ride, I was advised to call their help number. So, I called Customer Service who transfered me to Wanda, the dispatcher. I've never talked with someone so nice, helpful and compassionate - THIS is how customer service is supposed to be...HP, Dell, are you listening?! 

She not only tried to find me other buses to link and other routes to my stop, but in the end, tracked down a site supervisor Bob, down the road, luckily he was on a run, and took me to where I needed to go. He was so nice and understanding, I didn't feel like a total doornob. 

Tell you what, I can't think of anywhere else where their customer service was actually helpful, and hope these guys at least get a bonus, stipend or something. They went out of their way when they didn't have to. Thank you and great job - wish more people modeled your service-oriented organization!",3,0,0,3.5,"Positive","5"
"1806","EQZjeyvQRe0xnEYcV_eK0A","2","2.5, just not enough to give it three. 

Food was just OK and they ran out of ahi tuna by 9pm! 

They have happy hour all night (pretty good specials too) but they close SO early (10pm last call on Sunday)!",1,5,0,2,"Positive","4"
"1808","NT37ZZQBZkL0aI2dzDfUkw","5","Oh my God, Chompie's is the bomb and I'm so happy to have a location so close to my house!

While this location has a steady customer base, I have never had to wait longer then five minutes to be seated, unlike the other location at 92nd Street, Win! Service has always been fantastic. Quick on to seat, quick to get drinks, quick on refills, and delicious food from breakfast to dinner items. As other reviewers have stated, the Jewish sliders are amazing, but I have also enjoyed different wraps and sandwiches. Prices are a little higher, but the food is well worth the money. There is a ""bar area"" with about six stools and two TV's that you are able to see from your tables/booths which usually has ESPN on. 

The restaurant itself is all decked out in a NYC theme, well lit, but the acoustics aren't that great so it can get a little noisy. Bathrooms are nice and always clean. Oh, and don't forget to check out their bakery for delicious goodies to take home!",0,0,0,6,"Positive","4"
"1813","bBrWfrmif0hKB2eZ030dBQ","4","I was pleasantly surprised to find the Phoenix Public Market across the parking deck from the Cronkite School of Journalism and Mass Communication. It's too bad it's not located on the ground floor of the school, replacing the space currently occupied by Subway. It would be much healthier for the students.

I had their breakfast protein shake, which was AWESOME! Even though it was $6, I ended up having TWO!

While the shop is not as big as a Whole Foods, it does provide the organic and healthy staples, while serving fresh salads, pastries, and different types of chocolates. I didn't get to purchase the local bran of organic ice cream, which seems to be popular. Maybe next time I'm back in Phoenix.

I also liked their little coffee shop in the back room, which is separate from the main shopping area, giving you a bit of quiet to read a book or check your email.

Lastly, all the staff are quirky, yet incredibly friendly. They offered up suggestions for local things to do, and were generally helpful.

Overall, love this place. I wish it a long and successful life. The world needs more Phoenix Urban Markets.",0,1,0,4.5,"Positive","5"
"1818","H7tCJThvVA7a96c-x1mKnQ","2","Happy hour in Phoenix from 5PM to midnight on Thursdays? Yes, at Devil's! Hey, it's Phoenix; you need to escape the 100 plus degree scorching weather in a casual place. The staff is friendly and the atmosphere is fun and lively. Mind you, my disclaimer about Phoenix qualifies my prior observations of Devil's-it's good for being in Phoenix. Devil's is a fun place to get stupid and have a good time in a casual setting. It does remind of a frat party though.",0,3,0,2.5,"Positive","4"
"1824","Kibj2ajzr5yyNrEkpIk_BQ","4","I absolutely love the atmosphere and vibe of Switch.  I've been there 3 times, once for a latenight snack (before they were serving alcohol) and twice for breakfast.  My favorite thing about it is that I feel completely comfortable going by myself with a book and lingering over breakfast and coffee.

Service is always very quick and super friendly, and prices are good.  Unfortunately, as much as I love GOING to switch, I have to be honest and say I haven't been wowed by the food so far, although I still need to try lunch/dinner.  Food's not bad, not at all, just nothing spectacular.

Having said that though, I'll still go back often!",5,5,0,3.5,"Positive","4"
"1825","ct98FQE43aU5RqHxVLXMHA","1","This Jack in the Box location has the worst service & food that I have found in the Phoenix metro area. Every time I have gone through the drive through there my order has either been wrong or inedible - how hard is it to make a taco without frying it into oblivion? The wait times are consistently more than 5 minutes...I think I will be spending that 5 minutes driving to another location, just to get the correct order & food that is properly prepared.",0,4,0,0,"Neutral","1"
"1828","2pOUXf6XDO8a3uy2CjZ5tg","4","Stopped in with my two yr old granddaughter today after going to the children's museum, got some raised eyebrows when the cool people  saw the kid but whatever I had to have one of there dirty chai's. Good as usual and the kiddo had a cupcake she thoroughly enjoyed on the drive home.",0,1,0,1,"Positive","4"
"1830","ru2izNr8PLQ1IrGDJQTOJw","4","A ski-lodgey pizzeria. This says it all. Well, almost. While the decor may be a bit ""weird"" and ""puzzling,"" make no bones about it, the beer selection is great.

Let's re-cap 2 of my experiences, shall we?

DINNER:

Arrived shortly after 6 p.m. on a Saturday and sat in the bar area, which was littered with a few patrons. Live music started at 7 p.m. Since Saturday is considered ""All Day Happy Hour,"" I went with a $5 sandwich - turkey, with smoked provolone. On the side, fresh fruit. They call this their ""Half and Half."" The sandwich was okay. Nothing I can't make at my own hacienda, though. I really liked the turkey, which like appeared freshly carved. The beverage: Sam Adams Summer ale, which was their seasonal at the time. 

My family, who dined with me, thought the food was okay. When both my brother and my dad ordered beef, they weren't asked what temperature they wanted it cooked at. They were just given it well done. I would not have stood for that. 

Overall, the food is average ""bar style"" food. The menu is large, though. It may take you several minutes to narrow down your choices. From calzones and burgers to sammies, you have options. 

JUST DRINKS:

Now we're talking. If you're looking for a low-key place to hang for a couple hours, play some pool, watch some sports or hear live music, I would suggest checking out this place. They have two pools tables: one downstairs in the bar area; one upstairs. They also have a video game machine at the bar. (Beware that the pool tables were probably bequeathed to this place. After all, balls disappear. Where did the que ball go? Hmm.)

As for the beer, well... Let's just say they have quite the selection. You may not find your fancy imports here, but you will find some really great beers from some Oregon and Colorado microbrews. For that, this place goes up in rating for me (hence the 4 stars). After all, there's not may low-key places 'round town - especially close to home - that offer quite the array of beers to satiate my discerning tastes. I recommend you try The Great Divide Raspberry Ale, which is made with real raspberries. It's not overly sweet, but it's unique enough that you may find yourself, like me, craving it from time to time. Or, if you enjoy Rogue beer, they do sell the Dead Guy Ale on tap! 

Sure, I list out their beers here, but that'll take up my entire character limit. Let's just say that on their drink menu, THREE WHOLE PAGES are devoted to beer - what you'll find both on tap and by the bottle. 

SO WHY GO? 
Uhm, that's easy. Go for the great beer. (That's the main reason for the 4-star rating.)

If you love good beer, like I do, and want to chill with some friends, while playing pool or listening to some live jams (though the live music stopped at 9 when i went), then check out Boulders on Broadway. You may even find yourself thinking you stumbled through an invisible portal into a 1970's Denver ski lodge. Good times!",3,4,0,5.5,"Positive","5"
"1831","uX2ikFy4j5929NvjzBS5rg","4","I love the Lost Leaf for not ony becuase it's cool and hip, but because I am always made to feel welcome and relaxed - as I am not that cool or hip.  The crowd varies, but I like to go on Sunday night and listen to Jazz.  They have had some great bands there and I like how they prefer the local talent - the artists, the musicians, and the bevies.

There is no food, which is really sad.  I wish they had packaged food to nosh on, or took the approach that SideBar did wtih the package nosh (hummus and chips, etc.) Too bad.",1,2,0,3.5,"Positive","4"
"1835","rqVuVVQezQ6S_Fzaxf4Y6g","4","One of my lunchtime favorites -- a great bar menu under $10 (steak, shrimp, Italian sausage, etc) with good quality food and prompt service. 

Fun place to have drinks at happy hour. Plus, they have a nice traditional dining room for dinner. 

The bar area is always DARK (how it should be).",0,2,0,2.5,"Positive","4"
"1836","EdZuhjeGmZAOeTaBJSDPUQ","5","YUM!

I can never remember what it is, but order the salad thing on pita bread!  It will change your life!  My co-workers and I would always go in here and share one of those and then we'd each get a slice of pizza.  Perfect amount of food- low prices- never too/disgustingly full.  Their bilinis are wonderful as well!",0,0,0,1.5,"Positive","5"
"1837","XDPXwd7STgbIPP4qAiEngw","5","Best Italian restaurant in the valley, as far as I'm concerned. Totally unassuming from the outside since it's in a strip center on 64th St. & Greenway (in the same center as Fry's and McDonalds). But this family run restaurant that has been here for years. Same friendly staff every time...especially love being in the bar area. A little on the pricey side, but definitely worth it. Must try the ravioli (either as an appetizer or main dish) and chicken Marsala with fettuccine Alfredo on the side. All entrees come with soup or salad.",0,0,0,1,"Positive","4"
"1840","Rymd7AkDJPKevlqmPPMYOA","4","Scale of 1-10 (single visit):
8 Food
9 Service
9 Atmosphere
7 Value",1,0,0,0,"Neutral","5"
"1845","PUi38ibCuXQ9XGtZTsEMFQ","3","E-Z Buffet is a Chinese buffet that recently opened in my neighborhood.  

It was about $10 for dinner .  The place had a bunch of tables so seating was easy.   You can also get take out.

They have a lot of food to choose from, typical Chinese fare plus sushi, fried chicken wings, roast beef, salad fixings, pudding & fruit.  They also had ice cream for desert, not soft serve but hard ice cream.  

I like the General Tso's Chicken, Scallion Pork and their freshly steamed green beans.  I loved their rocky road ice cream. 

The wait staff was prompt and friendly.  I really liked that.

This place is worth trying.  If you go please write a review.  I'd love to know what others think.",1,0,0,2.5,"Positive","5"
"1846","3WiXbvYkrMHNFm1TauSKiA","3","I always feel a sense of guilt having to write a less than stellar review after meeting the owner of a restaurant. 

Lucia was Beautiful and sweet, and a pleasure to meet, my lunch, however, was not fit to eat. 

I ordered the THE HUMM-DINGER VEGAN WRAP: Roasted artichoke, zucchini, red bell pepper, onion, fresh spinach and hummus with a balsamic reduction drizzle, with a side of fruit and the sun dried tomato wrap. 

Notice it says ""Roasted"", the cashier told me the Veggies were ""Grilled"". Unfortunately, to my dismay, they were neither. 

Everything inside was heated up, by either stove or microwave, I'd guess the latter, and the ""Sun Dried Tomato Wrap"" was thin, doughy and utterly flavorless, not to mention a shocking pink color, which I'm sure was due to being naturally colored with beet juice, but did not help make things anymore appetizing. The fruit was a soggy pile of your typical pre-cut cantaloupe, honey dew mix. 

It was not what I was expecting AT ALL, when I think of a grilled veggie wrap, I imagine tasting all those veggies bursting with flavor after caramelizing on the grill, they had no flavor though. I also did not expect the temperature to be Hot, chilled would have been better in my opinion if the veggies had actually bee grilled that is. 

This lunch to me was less than average and as I sat there will my full plate in front of me I was asked how my meal was, I clearly stated my concerns as I have here and was simply told that it was a ""Best Seller"". 

Lucia did send over a piece of chocolate cake, which was appreciated, but unfortunately missed the mark since I'm Vegan and the desserts aren't. 

Honestly, in my opinion, aside from the market, most of the menu items are anything but healthy. 

The 3 stars is for the market, my food would have been 1.

And that folks is why I am the Lunch Snob!",1,4,0,1,"Positive","5"
"1847","aEUcD9yBM11dUSrEhdzTDA","5","I was extremely happy that we chose Cool Cuts 4 Kids for my son's first big boy hair cut. He was instantly comfortable and drawn in by all of the friendly things they have for children. He was given the choice of a movie or playing a video game, of course knowing exactly what he wants went straight for the video game (Sonic on XBOX). It was pretty much a breeze from that point the little guy was hypnotized and didn't even realize what was going on w/ his beautiful, lovely long hair =( obviously they need to focus on distracting the mom's lol! Jessie who cut my sons long hair was a doll, she didn't seem to be bothered by the mother breathing down her neck as she hacked off my little's hair or the boyfriend taking a copious amount of pictures and video of the whole event. In the end my son looked great and I was a happy mama, I couldn't have asked for a better experience.",0,1,0,5,"Positive","5"
"1851","RnhBH0hGPB9dBXP0BQAYBw","5","I loved this casual dining experience at the gorgeous Phoenician.  I stopped in for happy hour with some friends, and we had a great time.  We sat in front of the fireplace and sipped beers over appetizers.  The location alone is worth going for, but the food was good and service was even better.",0,0,0,3.5,"Positive","4"
"1854","DulkTT5d5KcSqYZAObP4-w","4","I had to chime in for JOT-C (yep, that's what I call it) because I know it very well, and it's gotten an unjustified bad rap from other Yelpers so far. I've eaten here for over a decade. I've brought friends, college classmates, relatives, and dates here. I lost my dad 3 years ago and I have fond memories of dining here with him. I distinctly remember spilling a Coke all over myself the first time I brought him here. I also remember coming here on my very last day of law school, with a bunch of classmates from Employment Law. The folks here have seen their share of special occasions in my life. Wouldn't be true if this were truly just a 2 star experience. 

I don't think it's fair to nail a restaurant with a bad review based on only a single visit, in most circumstances. Restaurants are run by humans, who are allowed to have a bad day now and then. I've eaten here a billion times. Occasionally something has annoyed me. Most of the time the service is prompt. And those things are true of every restaurant I've ever frequented more than once. At JOTC, even if it's not prompt, it has not even once been unfriendly. There is an elderly gentleman waiter in particular who I especially like. A non-Indian friend I came here with once asked him, ""So, what part of India are you from?"" The waiter look back puzzled and said in his typically mild and hushed manner, ""Sir, I am from Mexico City."" We LOL'd. 

It's #2 on my list of Indian restaurants in the Valley, which is pretty good. Since Tandoori Times is so close by it almost always wins out on a given night, over the past year or so. But the fact remains that JOTC is solidly #2. 

The food is good, by my Indian standards. Samosas: awesome. Chicken tikka masala: very good. I tried the bhindi masala once and that didn't turn out too well. A unique JOTC feature is that dishes are served in very cute, traditional-looking, brass or copper Indian pots. 

Little details like that lead me to say that the decor and atmosphere here probably beat out Tandoori Times and every other Indian place. Simple but elegant, with old Indian art on the walls and cool room dividers thoughtfully placed throughout. The outdoor seating is very pleasant, with heaters to warm you up during winter. The location only adds to the reason to eat here. It's in a cool space next to the Scottsdale Civic Center, a few yards away from AZ 88. It's a solid place to come with a group to eat, drink, and enjoy some good conversation.

JOTC doesn't blow me away (thus only 4 stars), but it needs to be said that if you live in the Valley it is worth at least one visit if you like Indian food, which you wouldn't be able to tell from the other reviews. Judge for yourself.",1,3,0,8.5,"Positive","4"
"1855","k9AZS7Qp81c2ub0-2buEjQ","4","I had a great experience here and was suprised by how charming and clean the spa is inside, given it is right off of busy rural rd!  I had Lana as my manicurist and she gave a GREAT pedicure.  I used a coupon from the ASU Insider's book and got a relaxing, hour long and hot stone pedicure for $18.  I think the normal price is still around $18...maybe $20 for the cheapest one??!!  Lana was super friendly and sweet, and the owner was also very helpful and made me feel comfortable.  I will definitely go back here for a gel mani!!",0,0,0,6,"Positive","4"
"1856","8CUu84mGh8t7GZ-ptY0P_g","1","I purchased a pair of Naot Paris sandals ($160 with tax) at The Shoe Mill.  I considered buying on-line, but decided to shop locally instead.  I ended up paying more, but assumed that I was paying for the superior service.  I wore my new shoes to work on Friday.  By the end of the day, I had developed blisters on both feet near my toes and my ankles.  I was surprised because I had read many reviews stating how comfortable Naot sandals are and the salesman who helped me confirmed that I was buying the correct size.  Sadly, I took them back to the store the next day.  To my surprise, I was told that The Shoe Mill does not take returns.  I have never tried to return shoes, so it didn't occur to me to ask this question when I made the purchase.  However, as I stated, I expected full service from a high end shoe store.
I will no longer shop at The Shoe Mill.  It's been three days and my feet are still recovering.  It's a constant reminder of how dissatisfied I was with my purchase.  I will definitely shop Zappos next time.",0,0,0,1.5,"Positive","5"
"1860","azyMLujqH6LgAYZwRC90JA","5","One of my favorite places to eat if I'm looking for cheap and fast :)",0,0,0,0.5,"Positive","5"
"1867","GMm0xFMRArZX7lztrWPG8Q","4","One of my new favorite neighborhood bars! 

We had a Canada Day shindig here and it's a great little neighborhood bar with fair drink prices and super friendly bar staff. You'd never know that there's a bar inside when you get to the parking lot behind the Ice Rink - just look for the signs on the top of the building. 

They have lots of TVs for hockey fans and the bar looks right out onto the ice so you can watch people skate. They had a great jukebox and the Rockband kit so you can rock out with all your newest bar friends. 

For food selection you have BBQ, BBQ, or BBQ...either beef, pork, or chicken, with a side for $6.50. Tasty stuff! Great beer selection including Molson Canadian or Labatt Blue.",4,4,1,5,"Positive","4"
"1871","oQ3ZMhZD9C4VF6DKX3gkpg","4","Okay, it almost seems a shame to burst the bubble of the positive reviews of this place, but I just have to. 

I'm not an Indian food expert, but I am a serious enthusiast and I've eaten at dozens of Indian places on three continents, not to mention my family being from the vicinity of that area of the world and therefore having grown up on curry and rice and all things spice.

We went here for lunch yesterday (Sunday), thanks to a Yelp/Aloqa recommendation after we'd had a romp at Estrella Mountain Park and were starving. The place was almost deserted at 1pm, with only one other table occupied - fair enough. We went for the buffet. And I have to say, it was simply ""okay"". The buffet didn't have a particularly wide variety of stuff - several items were cheap regulars such as the saag and the dhal - spinach and lentils for the uninitiated. They did have aloo zucchini, never seen that before - tasted okay, about as good as I'd have been able to make it (and that's actually not a compliment). No lamb dishes - disappointing, but unfortunately this is also rare.

Flavorwise, I found it boring and unspectacular. Saag is saag, tandoori chicken is tandoori chicken, except their chicken was very light on the tandoori smoke flavour. None of the food left the slight zing on my tongue that it should have. Rice was okay, but then you typically can't go wrong with cooking basmati (although another reviewer's mileage apparently differed on this count). We had our almost-3-year-old along and he did have a little rice, chicken and beef - it was his first real curry and thus a pretty substantial milestone for us. Then the wife went to get a little kheer and a gulab jamun ball. The kheer was watery but tasted okay - compared unfavourably to the sabudaana kheer at India Palace. The jamun ball was almost completely solid - you had to press real hard with a fork to cut it, normally they're nice and soft and soaked. However, another one I got was normal - so it was just the luck of the draw there. Beef curry was nice, although the first piece I ate was mainly fat - whatever, you get that and I don't mind it. The fried pakoras can normally be cut through with a fork. These you had to saw through with a knife - not great, chewy to the point of almost being crunchy. No samosas in the buffet. The naan was unusual. I've had a LOT of naan before and this stuff was the uncommon kind, not thick and pita-ey but instead a little more like a roti. It tasted very fresh - we had plain and also garlic - and the wife really liked it. Kid did too. I personally prefer the other sort of naan - softer and a little more substance to it, but this one had merit regardless. However, it took at least fifteen minutes after our food was served before the naan arrived.

All up, middle of the road as far as I'm concerned, although the wife quite liked it. Note that this is for the buffet only - we did not have a-la-carte and perhaps the to-order cooked food may have tasted better. I've had better buffets - the best one in Phoenix west of the 17 IMO is India Palace - a wider variety, a lot busier (as a result, I'm sure) and more flavourful food. Admittedly, I haven't tried any other Indian places south of Bell but west of the 17 except for Sutra. Bell appears to have most of them?

I would normally have given this place a flat three stars, but I'm going to give it an extra half and round up for a few reasons. Firstly, the waiter was real nice and very attentive - up to the standard of a typical US chain place, rather than the silent wanderers with the Easter Island statue facial expressions at other buffets who do no more than refill your water and clear your dirty dishes every fifteen minutes or so. He was asking us how we were doing, offered refills of my wife's iced tea at appropriate times etc. Spot on. Next, there's a buffet discount where all kids under 10 are $5 - however, we noticed that they appropriately knocked the price down to $3.50 for us, unbidden and I guess for the simple reason that he was set up in a high chair and obviously only ate 1/4 of a breakfast bowl worth of food in total. Third, the place had nice decor (although I was a bit concerned there were no tablecloths, with my kid banging his plastic sippy cup and spilling sh1t all over the tabletop) and thankfully they didn't have sh1tapple wudda-wudda-waa-waa pretentious bhangra muzak playing in a cheap attempt at making you feel like you're actually in India.

I'd eat here again, but only if I'm in the area and DYING for Indian food. It simply didn't measure up, either buffet-wise or flavour-wise. For first-timers, I can see how they would have enjoyed the experience - clean seating area, Americanized flavours and a good waiter. My experience, however, has been burned in over almost four decades and I've kicked the tyres of more cuisines from this area of the world than I can recount, especially Indian. Three and a half, rounded up to four, Seacrest out.",2,1,1,8.5,"Positive","5"
"1872","H71I6Rjyaegqxwz81hJG8Q","3","I will say that the weakest link in this restaurant is the maturity of the staff.  We went for lunch and asked to sit on the patio.  Most of the people we're eating but then they sat a large group right next to us that only wanted to drink and smoke.  I know smoking it allowed on the patio but since it wasn't the only table available AND the rest of us we're eating food I think they should have sat them a little farther away from us.
Our order wasn't right but couldn't get the server to come back so we just let it go.  The food was great!  Had a few items from the small plates and then we had the bacon grilled cheese and the chicken sandwich.  Both very good.  
My biggest complaint is that we we're ignored unless we we're actively looking around for someone and then snagged someone as they walked by.  I will try again as this place is still trying to find its way but service needs to be stepped up for sure.",0,1,0,1.5,"Positive","5"
"1873","pkPCg8x1kiZmOwlEeOJiOQ","4","This trip we rented an area over centerfield to have a conference for about 250. We got in the ballpark in the early AM with the intent to stay for the game as we had a separate suite for this. 

It drizzled a bit, so the roof was open for much of the day, though temperatures we over 100. Walking around an empty ballpark makes you appreciate the size of Chase. Groundskeepers moved and massaged dirt all day as their #1 DBacks appear to be playoff bound. Who would have thought?

The catering service was excellent and finally at game time we enjoyed watching the DBacks come from behind to beat the Padres. The suites above centerfield have poor visibility because of the size of the ball park. 

Enjoyable, but get me the box seats else I can't watch baseball from the nosebleed area.",0,0,0,1,"Positive","4"
"1874","Z_BCiHEYUlNtuBjg6AJ-Sw","4","Super friendly staff and smoothies come out so fast...delicious too!",0,0,0,1,"Positive","4"
"1876","h5MjXLjDEwBh9_ZL3d5KNA","1","I used to go here at least 3 times a week for Happy hour.  The volcano chicken was my favorite meal.  However, the last time I was in there I had a cricket in my water.  I took a sip squeezed the lemon, and thought there was something wrong with the taste.  I checked and at first thought it was a lemon seed but no, sure enough it was a cricket (in which i took a picture).  The way this restaurant handled an insect in my water was repulsive.  One of the male bartenders came over and brought a new water saying, ""It happens.""  No, sorry that's disgusting.  If i hadn't been craving the volcano chicken I went there for I would have just left.  And then on top of getting a cricket in my water there's no discount or compensation off of my bill.",0,1,0,-1,"Negative","1"
"1878","O0AiwfWBTy9BcpJtCQweTA","4","This is a beautiful store. Its huge and spacious. The workers are friendly and helpful. You can't go wrong with cute, nerdy boys who help you fix things! :]",4,4,4,2,"Positive","4"
"1881","n1z0SyoHoPXBbJxOqSwtgw","4","Perfect patio for a Saturday!

This place walks a fine line between being too snooty and being just plain awesome.  I've had a couple of experiences here, and overall the food is really tasty.  I'm a fan of the gnocchi, even though it's a little different than traditional gnocchi.
The location is great, as long as there isn't a douche bag convention going on, and as long as the bartenders and servers keep their positive attitudes, I think this place will be around for a while. Thanks!",0,1,0,2.5,"Positive","4"
"1882","EZNnS44Ffk11dC_Tl1XGvA","4","Like every other Trader Joe's, this one also has a wide variety of products, extremely nice and helpful staff, and provides a great overall grocery shopping experience.  I'll echo what someone below me said - their cilantro jalapeno hummus is the bomb, you have to try it!  

One frustration is that I can never seem to find any handmade flour tortillas.  Only handmade wheat tortillas...and anyone who has ever had Joe's handmade flour tortillas know that they are phenomenal for grocery stores!  

Pick up some wine on your way out!  There's always new ones to try out.",0,2,0,2,"Positive","5"
"1883","MD9uv37WiXXXyh3sTWbAWA","3","Lately, I've been on the hunt for a good shrimp po boy. I'm not sure if this compulsion was spurred by homesickness for New Orleans, the food challenge show featuring 2 famous NOLA po boy joints, or both but I've it seems the last few weekends I've found myself dreaming of that crusty bread ""dressed"" with lettuce, tomato, and mayo, and golden deep fried gulf shrimp. I happened to notice Baby K's one day and decided to try it out. To be honest, I wasn't even really that hungry but I wanted the po boy and I didn't know when or if I'd have the opportunity to go back to Town and Country mall any time in the near future. The inside was empty but they have a French
Quarter-esque patio complete with wrought iron fence. The bf and I both ordered the half pb with a cup of gumbo. I'm a bit of a gumbo snob bc I feel I can make it better than any restaurant can but theirs was really good! They had 3 different kinds which was nice and it was seasoned perfectly. There wasn't a bite that didn't have meat in and the broth was just right. The shrimp on the pb was succulent and almost tasted as if it was battered in beignet mix as the fried was light and airy. I didn't indulge in any libations but they do have Abita and a few other New Orleans beer classics. If I find myself in the area again I'd probably go back but this time I'm ordering a whole po boy!",0,0,0,1.5,"Positive","5"
"1888","gpx2zQWXvnlYLGnl5i6i-Q","5","I was in the middle of a dilemma and needed proof of something faxed to me right away and stopped in here and got what i needed within just five minutes and was outta there and back to what i needed to take care of.  The price for two piece of paper for the fax was almost $3, which while is not the cheapest considering you can get it for free at home, but beggars cannot be choosers and was happy to pay it.",0,0,0,1.5,"Positive","5"
"1892","TQ3whoVnYXdWmbA1hN8GTQ","5","I totally love this place. It reminds me of the old school hardcore Chinese restaurant my parents used to take us when we were kids :D 

The decor is amazing- unlike more Chinese places in Phoenix. The walls are a teal blue, adorned with large carved pieces of artwork depicting scenes in China, golden dragons and more. The lights hanging from the ceiling are amazingly ornate. The place looks like its from a bygone era (doesn't help that its in a run down strip mall) but it is clean and charming inside.

The service was great- kind to our 2 yo, and very attentive. The food was the best part- I can't remember the last time I had such good Chinese food, and it's priced very reasonably. We got the Peking dinner for 2 which included the fried noodles, hot tea, wonton soup (with generous noodles, meat, shrimp and veggies, the best I've ever had), a pupu platter with eggrolls, bbq skewers, house wings and those cheese puff thingies (the presentation is pretty cool, too). Next came 3 entree sized plates of food: mongolian beef, fried chicken (can't remember the name) and the Peking fried rice. The meal concluded with incredible little desserts- sort of like eggrolls but filled with banana and then covered with crystalized honey. I could have eaten 100 of them! Adding in a beverage and tax, the meal was only $34! 

My 2 yo can really eat, so I am surprised and pleased to say that even with sharing the dinner for 2 people with him, the 3 of us walked out with lots of leftovers. Highly recommended. Do it! DO IT!",1,3,1,9,"Positive","5"
